table,column,ours,pub,diff_abs,fail
B,s_2018,0.153454369566134,0.1534543695661318,2.220446049250313e-15,FALSE
B,s_2018,0.17809748940992123,0.17809748940991535,5.88418203051333e-15,FALSE
B,s_2018,0.15987250091439775,0.1598725009144011,3.3584246494910985e-15,FALSE
B,s_2018,0.1616271547753255,0.16162715477533032,4.829470157119431e-15,FALSE
B,s_2018,0.16251372622851326,0.16251372622851146,1.8041124150158794e-15,FALSE
B,s_2018,0.18443475910570836,0.18443475910570997,1.609823385706477e-15,FALSE
B,s_2018,0.07476796903121477,0.07476796903121907,4.3021142204224816e-15,FALSE
B,s_2018,0.07868640053491764,0.07868640053491638,1.2628786905111156e-15,FALSE
B,s_2018,0.01478097428885005,0.014780974288847693,2.357489203852481e-15,FALSE
B,s_2018,0.05263785356382022,0.052637853563823805,3.587408148320037e-15,FALSE
B,s_2018,0.04796816952738644,0.04796816952738738,9.43689570931383e-16,FALSE
B,s_2018,0.06271049202986193,0.06271049202986073,1.1934897514720433e-15,FALSE
B,s_2018,0.01716558118688937,0.017165581186887043,2.327998904760875e-15,FALSE
B,s_2018,0.0444003930930511,0.04440039309304988,1.2212453270876722e-15,FALSE
B,s_2018,0.03919970596877441,0.03919970596877259,1.817990202823694e-15,FALSE
B,s_2018,0.05910682066568551,0.059106820665687405,1.8943180357666733e-15,FALSE
B,s_2018,0.01714464243834148,0.017144642438339193,2.2863655413374318e-15,FALSE
B,s_2018,0.04837074045626034,0.04837074045625825,2.0886070650760757e-15,FALSE
B,s_2018,0.04010313384712111,0.0401031338471218,6.938893903907228e-16,FALSE
B,s_2018,0.05600863803360653,0.05600863803360695,4.2327252813834093e-16,FALSE
B,s_2018,0.01680782176960075,0.0168078217696037,2.9524993561125257e-15,FALSE
B,s_2018,0.05232701534258541,0.05232701534258423,1.1796119636642288e-15,FALSE
B,s_2018,0.04121685459797796,0.041216854597976485,1.4779844015322396e-15,FALSE
B,s_2018,0.0521620345183471,0.05216203451835094,3.8441472227646045e-15,FALSE
B,s_2018,0.02318846802645954,0.023188468026457333,2.2065682614424986e-15,FALSE
B,s_2018,0.05269756577613092,0.052697565776129766,1.1518563880486e-15,FALSE
B,s_2018,0.04422434623100867,0.044224346231009515,8.465450562766819e-16,FALSE
B,s_2018,0.06432437907210856,0.06432437907210971,1.1518563880486e-15,FALSE
B,s_2018,1,1,0,FALSE
B,ds_99_18,-0.01767710441162806,-0.017677104411630035,1.9741153156616065e-15,FALSE
B,ds_99_18,-0.00807436798496721,-0.008074367984974712,7.50267903359969e-15,FALSE
