year,gender,series,ours,pub,diff_abs,fail
1999,All,epop65,0.11950498707055782,0.119505,1.29294421835624e-8,FALSE
1999,All,epop_all,0.6425291450465455,0.6425291,4.504654549375431e-8,FALSE
2000,All,epop16_24,0.596616310668264,0.5966163,1.0668264049940035e-8,FALSE
2000,All,epop25_54,0.814639846838559,0.8146399,5.316144102707199e-8,FALSE
2000,All,epop55_64,0.5778786628146926,0.5778787,3.7185307388831745e-8,FALSE
2000,All,epop65,0.12487300543835536,0.124873,5.438355363263092e-9,FALSE
2000,All,epop_all,0.6439626298359175,0.6439626,2.983591740335356e-8,FALSE
2001,All,epop16_24,0.5771418720910187,0.5771419,2.7908981237168007e-8,FALSE
2001,All,epop25_54,0.8054669254300846,0.8054669,2.5430084593658364e-8,FALSE
2001,All,epop55_64,0.5855423613610011,0.5855424,3.863899888933986e-8,FALSE
2001,All,epop65,0.12630672368733667,0.1263067,2.3687336675459747e-8,FALSE
2001,All,epop_all,0.6366269474134444,0.636627,5.258655566553472e-8,FALSE
2002,All,epop16_24,0.5569294324033728,0.5569294,3.240337276277927e-8,FALSE
2002,All,epop25_54,0.7931223735838856,0.7931224,2.641611440701297e-8,FALSE
2002,All,epop55_64,0.5949967733363702,0.5949968,2.666362974856895e-8,FALSE
2002,All,epop65,0.1273663038334122,0.1273663,3.833412198783748e-9,FALSE
2002,All,epop_all,0.6273153467849428,0.6273153,4.67849428087419e-8,FALSE
2003,All,epop16_24,0.5390979747611221,0.539098,2.523887787653223e-8,FALSE
2003,All,epop25_54,0.7882130603703493,0.7882131,3.962965067216828e-8,FALSE
2003,All,epop55_64,0.598600692440854,0.5986007,7.559145975832848e-9,FALSE
2003,All,epop65,0.13452836247919892,0.1345284,3.752080107721767e-8,FALSE
2003,All,epop_all,0.622769219639458,0.6227692,1.9639457948805727e-8,FALSE
2004,All,epop16_24,0.5390043658529888,0.5390044,3.4147011218621515e-8,FALSE
2004,All,epop25_54,0.7898225427436999,0.7898225,4.2743699912861643e-08,FALSE
2004,All,epop55_64,0.5992945814170615,0.5992946,1.8582938521305437e-8,FALSE
2004,All,epop65,0.13924123782831055,0.1392412,3.782831053955604e-8,FALSE
2004,All,epop_all,0.6234503507837229,0.6234503,5.078372289357702e-8,FALSE
2005,All,epop16_24,0.539074003381142,0.539074,3.381141921998676e-9,FALSE
2005,All,epop25_54,0.7933658678005412,0.7933659,3.219945876598018e-8,FALSE
2005,All,epop55_64,0.6082877507044588,0.6082878,4.92955412045859e-8,FALSE
2005,All,epop65,0.14526063647770046,0.1452606,3.647770047132681e-8,FALSE
2005,All,epop_all,0.6268936629467938,0.6268936,6.294679377738532e-8,FALSE
2006,All,epop16_24,0.5424572990823702,0.5424573,9.176298609858691e-10,FALSE
2006,All,epop25_54,0.7981166522532911,0.7981166,5.225329113844879e-8,FALSE
2006,All,epop55_64,0.6179760956175299,0.6179761,4.382470164543406e-9,FALSE
2006,All,epop65,0.14952405020638532,0.149524,5.020638532693411e-8,FALSE
2006,All,epop_all,0.6311911369446933,0.6311911,3.6944693304619136e-8,FALSE
2007,All,epop16_24,0.5312892619423133,0.5312893,3.805768666875764e-8,FALSE
2007,All,epop25_54,0.7991582866598778,0.7991583,1.3340122229088536e-8,FALSE
2007,All,epop55_64,0.6180801032797467,0.6180801,3.2797466964495925e-9,FALSE
2007,All,epop65,0.15496301203489013,0.154963,1.2034890140011356e-8,FALSE
2007,All,epop_all,0.6298810519869235,0.629881,5.1986923432778553e-8,FALSE
2008,All,epop16_24,0.5122719026784761,0.5122719,2.678476107575989e-9,FALSE
2008,All,epop25_54,0.7908270461273995,0.790827,4.612739956666445e-8,FALSE
2008,All,epop55_64,0.6214206801827357,0.6214207,1.981726438504694e-8,FALSE
2008,All,epop65,0.16089448615483976,0.1608945,1.3845160240499865e-8,FALSE
2008,All,epop_all,0.6217684397830513,0.6217684,3.9783051297703764e-8,FALSE
2009,All,epop16_24,0.46852290574174144,0.4685229,5.741741415654644e-9,FALSE
2009,All,epop25_54,0.7577331082157306,0.7577331,8.215730540328536e-9,FALSE
2009,All,epop55_64,0.6062415275013701,0.6062415,2.750137007012654e-8,FALSE
2009,All,epop65,0.16090320543186484,0.1609032,5.4318648468054676e-09,FALSE
